Crop,State,District,Soil,Season,SowingMonth,MinTemp,MaxTemp,SoilPHMin,SoilPHMax,MinRainfall,MaxRainfall
Bajara,Uttar Pradesh,KANPUR DEHAT,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,KANPUR NAGAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,KASGANJ,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,KAUSHAMBI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,KHERI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,KUSHI NAGAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,LUCKNOW,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MAHOBA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MAINPURI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MATHURA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MAU,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MEERUT,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MIRZAPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,MORADABAD,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,PRATAPGARH,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,RAE BARELI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,RAMPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SAMBHAL,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SANT KABEER NAGAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SANT RAVIDAS NAGAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SHAHJAHANPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SITAPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SONBHADRA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,SULTANPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,UNNAO,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Uttar Pradesh,VARANASI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,West Bengal,PURULIA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,AHMADABAD,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,AMRELI,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,ANAND,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,ARAVALLI,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,BANAS KANTHA,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,BHARUCH,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,BHAVNAGAR,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,BOTAD,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,DOHAD,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,GANDHINAGAR,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,GIR SOMNATH,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,JUNAGADH,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,KACHCHH,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,KHEDA,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,MAHESANA,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,MAHISAGAR,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,MORBI,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,NARMADA,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,PANCH MAHALS,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,PATAN,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,PORBANDAR,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,RAJKOT,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,SABAR KANTHA,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,SURENDRANAGAR,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Gujarat,VADODARA,Black Cotton Soil,Summer,February,20,30,7,8,400,750
Bajara,Karnataka,BELLARY,Black Cotton Soil,Summer,January,20,30,7,8,400,750
Bajara,Karnataka,DHARWAD,Black Cotton Soil,Summer,January,20,30,7,8,400,750
Bajara,Karnataka,RAICHUR,Black Cotton Soil,Summer,January,20,30,7,8,400,750
Bajara,Karnataka,TUMKUR,Black Cotton Soil,Summer,January,20,30,7,8,400,750
Bajara,Karnataka,YADGIR,Black Cotton Soil,Summer,January,20,30,7,8,400,750
Cashewnut,Andhra Pradesh,ANANTAPUR,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,EAST GODAVARI,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,WEST GODAVARI,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,CHITTOOR,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,GUNTUR,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,KADAPA,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,KRISHNA,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,PRAKASAM,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,SPSR NELLORE,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
Cashewnut,Andhra Pradesh,SRIKAKULAM,Coastal Sandy Soil,Kharif,August,25,49,5.5,7.5,1000,2500
